customer_state,customer_city,total_revenue,unique_customers,revenue_per_customer
MT,Conquista D'Oeste,89.99,1,89.99
PB,Brejo Dos Santos,89.99,1,89.99
AL,Mata Grande,89.99,1,89.99
SP,Tapinas,89.99,1,89.99
MG,Palmopolis,89.99,1,89.99
GO,Britania,89.99,1,89.99
PR,Marilena,89.99,1,89.99
TO,Peixe,89.99,1,89.99
MA,Cajapio,89.99,1,89.99
PR,Paranapoema,89.99,1,89.99
MG,Vitorinos,89.99,1,89.99
PR,Guapirama,89.9,1,89.9
MG,Lamim,89.9,1,89.9
MG,Braunas,89.9,1,89.9
PE,Machados,89.9,1,89.9
AL,Coite Do Noia,89.9,1,89.9
PR,Bom Sucesso,89.9,1,89.9
SP,Redencao Da Serra,89.9,1,89.9
SP,Riversul,89.9,1,89.9
SE,Itabi,89.9,1,89.9
RO,Cujubim,89.9,1,89.9
PR,Sao Jorge Do Patrocinio,89.9,2,44.95
MS,Bandeirantes,89.9,1,89.9
ES,Atilio Vivacqua,89.9,1,89.9
MG,Ilicinea,89.9,1,89.9
RN,Coronel Joao Pessoa,89.9,1,89.9
RR,Bonfim,89.9,1,89.9
RS,Pedras Altas,89.9,1,89.9
ES,Santa Leopoldina,89.9,1,89.9
BA,Retirolandia,89.9,1,89.9
ES,Vargem Grande Do Soturno,89.9,1,89.9
MG,Estrela Do Sul,89.9,1,89.9
GO,Jaupaci,89.9,1,89.9
RJ,Penedo,89.9,1,89.9
PR,Sao Jorge D'Oeste,89.9,1,89.9
PR,Rancho Alegre,89.9,1,89.9
MS,Coronel Sapucaia,89.9,1,89.9
PR,Contenda,89.9,1,89.9
MA,Santa Rita,89.9,1,89.9
MG,Capela Nova,89.77,1,89.77
MG,Fonseca,89.65,1,89.65
AL,Atalaia,89.58,1,89.58
SC,Aguas Mornas,89.15,1,89.15
SE,Aquidaba,89.0,1,89.0
PR,Coronel Domingos Soares,89.0,1,89.0
RS,Vanini,89.0,1,89.0
RS,General Camara,89.0,1,89.0
MG,Taparuba,89.0,1,89.0
MG,Jacinto,89.0,1,89.0
PB,Sao Francisco,89.0,1,89.0
PB,Lucena,89.0,1,89.0
MG,Arapua,89.0,1,89.0
MG,Antonio Pereira,88.99000000000001,2,44.5
MA,Alto Alegre Do Maranhao,88.9,1,88.9
SP,Sao Pedro Do Turvo,88.9,2,44.45
DF,Guara,88.78999999999999,2,44.4
