customer_state,customer_city,total_revenue,unique_customers,revenue_per_customer
BA,Chorrocho,49.9,1,49.9
RS,Pinto Bandeira,49.9,1,49.9
SP,Palmeira D Oeste,49.9,1,49.9
PA,Juruti,49.9,1,49.9
DF,Ceilandia,49.9,1,49.9
PR,Santa Margarida,49.9,1,49.9
SC,Agrolandia,49.9,1,49.9
SP,Mogi-Mirim,49.9,1,49.9
SC,Rio Dos Cedros,49.9,1,49.9
SC,Santa Terezinha,49.9,1,49.9
PR,Bocaiuva Do Sul,49.89,2,24.94
PR,Doce Grande,49.49,1,49.49
RS,Jacutinga,49.39,1,49.39
MT,Sao Jose Do Xingu,49.3,1,49.3
SP,Elisiario,49.0,1,49.0
BA,Mansidao,49.0,1,49.0
SP,Tuiuti,49.0,1,49.0
PA,Jacareacanga,49.0,1,49.0
MG,Baguari,49.0,1,49.0
PE,Tamandare,49.0,1,49.0
PR,Vitorino,49.0,1,49.0
ES,Araguaia,49.0,1,49.0
PR,Foz Do Jordao,49.0,1,49.0
MA,Bela Vista Do Maranhao,49.0,1,49.0
SC,Iomere,49.0,1,49.0
PR,Santa Lucia,48.9,1,48.9
PA,Pau D'Arco,48.9,1,48.9
RN,Bodo,48.9,1,48.9
RS,Nova Brescia,48.9,1,48.9
MG,Itaguara,48.89,2,24.44
SE,Indiaroba,48.0,1,48.0
RS,Machadinho,48.0,1,48.0
MS,Ribas Do Rio Pardo,47.9,1,47.9
PB,Jacarau,47.81,1,47.81
SP,Populina,47.6,1,47.6
RS,Tiradentes Do Sul,46.86,1,46.86
MA,Humberto De Campos,45.9,1,45.9
CE,Amontada,45.9,1,45.9
GO,Crominia,45.9,1,45.9
MS,Gloria De Dourados,45.8,1,45.8
SP,Queiroz,45.0,1,45.0
BA,Ribeira Do Amparo,45.0,1,45.0
PR,Sao Sebastiao Da Amoreira,45.0,1,45.0
RN,Antonio Martins,45.0,1,45.0
BA,Dias D Avila,45.0,1,45.0
BA,Ibiajara,45.0,1,45.0
CE,Tabuleiro Do Norte,44.99,1,44.99
PB,Pedra Branca,44.99,1,44.99
PR,Fenix,44.99,1,44.99
BA,Apora,44.9,1,44.9
RS,Pontao,44.9,1,44.9
BA,Baixa Grande,44.0,1,44.0
MG,Ubai,43.5,1,43.5
PR,Candoi,43.0,1,43.0
SP,Agisse,43.0,1,43.0
MG,Cedro Do Abaete,42.99,1,42.99
AL,Traipu,42.99,1,42.99
BA,Guaratinga,42.99,2,21.5
RO,Castanheiras,42.9,1,42.9
SP,Neves Paulista,42.78,2,21.39
BA,Aribice,42.0,1,42.0
RN,Agua Nova,42.0,1,42.0
MT,Nobres,41.99,1,41.99
AL,Passo De Camaragibe,41.98,1,41.98
SP,Florinia,41.5,1,41.5
MG,Ponto Dos Volantes,41.4,2,20.7
RS,Mampituba,40.95,1,40.95
MA,Maranhaozinho,40.9,1,40.9
PR,Juranda,40.9,2,20.45
SC,Ponte Alta Do Norte,39.99,1,39.99
BA,Igapora,39.99,1,39.99
PE,Sao Benedito Do Sul,39.99,1,39.99
PE,Terezinha,39.99,1,39.99
BA,Capela Do Alto Alegre,39.99,1,39.99
PE,Siriji,39.99,1,39.99
MG,Conceicao Da Ibitipoca,39.99,1,39.99
RN,Vera Cruz,39.99,1,39.99
SE,Riachuelo,39.97,1,39.97
MG,Natercia,39.9,1,39.9
RS,Alegria,39.9,1,39.9
AL,Girau Do Ponciano,39.9,1,39.9
PE,Cupira,39.9,1,39.9
RO,Mutum Parana,39.9,1,39.9
BA,Itaju Do Colonia,39.9,1,39.9
MG,Desterro De Entre Rios,39.9,1,39.9
RS,Itatiba Do Sul,39.9,1,39.9
BA,Varzedo,39.9,1,39.9
PB,Mae D'Agua,39.89,1,39.89
PR,Campo Magro,39.8,1,39.8
BA,Sao Jose Da Vitoria,39.75,1,39.75
GO,Formoso,39.0,1,39.0
MG,Acucena,38.0,1,38.0
MG,Santa Maria Do Salto,38.0,1,38.0
CE,Lavras Da Mangabeira,37.99,1,37.99
BA,Belmonte,37.99,1,37.99
MA,Passagem Franca,37.98,1,37.98
RS,Unistalda,37.9,1,37.9
MG,Joaima,37.9,1,37.9
CE,Pindoretama,37.55,1,37.55
PI,Alvorada Do Gurgueia,37.0,1,37.0
BA,Jussiape,37.0,1,37.0
BA,Santana Do Sobrado,36.9,1,36.9
MS,Sanga Puita,36.9,1,36.9
MS,Inocencia,36.9,1,36.9
CE,Pedra Branca,36.89,2,18.44
CE,Lagoa Do Mato,35.99,1,35.99
PR,Boa Esperanca Do Iguacu,35.9,1,35.9
MG,Divino Das Laranjeiras,35.9,1,35.9
MG,Virginia,35.9,1,35.9
RN,Florania,35.5,1,35.5
PB,Sao Bentinho,35.0,1,35.0
CE,Capistrano,35.0,1,35.0
MG,Miravania,35.0,1,35.0
MA,Peri Mirim,34.99,1,34.99
MS,Paraiso Das Aguas,34.99,1,34.99
BA,Antonio Goncalves,34.9,1,34.9
SP,Gabriel Monteiro,34.9,1,34.9
PR,Sao Jorge Do Oeste,34.9,1,34.9
PB,Teixeira,34.9,1,34.9
MG,Martinesia,34.89,1,34.89
SP,Parisi,34.49,1,34.49
SC,Arvoredo,34.3,1,34.3
RJ,Jaguarembe,33.99,1,33.99
MG,Vermelho Novo,33.87,1,33.87
RS,Vitoria Das Missoes,33.8,1,33.8
GO,Damianopolis,33.64,2,16.82
RS,Guabiju,33.6,1,33.6
RS,Colinas,32.99,1,32.99
MS,Prudencio Thomaz,32.99,1,32.99
CE,Itaicaba,32.99,1,32.99
GO,Morro Agudo De Goias,32.9,1,32.9
PA,Santo Antonio Do Taua,32.9,1,32.9
AL,Cacimbinhas,32.5,1,32.5
RS,Picada Cafe,32.0,1,32.0
RJ,Bemposta,32.0,1,32.0
RJ,Jamapara,32.0,1,32.0
RS,Barao,31.9,1,31.9
MG,Morro Vermelho,31.9,1,31.9
MA,Sao Francisco Do Brejao,31.9,1,31.9
BA,Cabaceiras Do Paraguacu,31.9,1,31.9
PR,Alexandra,31.9,1,31.9
PA,Ourem,31.9,1,31.9
SC,Santa Cruz Do Timbo,30.99,1,30.99
RN,Lagoa Salgada,30.24,1,30.24
SC,Dona Emma,30.21,1,30.21
MS,Guia Lopes Da Laguna,29.99,1,29.99
MA,Arame,29.99,1,29.99
MG,Senhora Dos Remedios,29.99,1,29.99
BA,Gongogi,29.99,1,29.99
PI,Angical Do Piaui,29.99,1,29.99
GO,Buriti Alegre,29.99,1,29.99
MG,Santa Rita De Jacutinga,29.99,1,29.99
BA,Igrapiuna,29.99,1,29.99
AP,Porto Grande,29.99,1,29.99
CE,Coreau,29.99,1,29.99
MT,Vila Bela Da Santissima Trindade,29.99,1,29.99
MG,Centralina,29.99,1,29.99
RS,Segredo,29.939999999999998,1,29.94
PR,Sulina,29.9,1,29.9
AL,Sao Bras,29.9,1,29.9
MG,Antonio Carlos,29.9,1,29.9
MG,Pescador,29.9,1,29.9
RS,Marques De Souza,29.9,1,29.9
MT,Ribeirao Cascalheira,29.9,1,29.9
TO,Nova Olinda,29.9,1,29.9
RS,Monte Bonito,29.5,1,29.5
PE,Jurema,29.5,1,29.5
PR,Jussara,29.49,1,29.49
BA,Pirai Do Norte,29.49,1,29.49
PI,Caxingo,29.0,1,29.0
PR,Rosario Do Ivai,29.0,1,29.0
SP,Boraceia,29.0,1,29.0
SP,Fernao,29.0,1,29.0
CE,Ibicuitinga,28.99,1,28.99
MG,Indianopolis,28.99,1,28.99
RS,Paraiso Do Sul,28.99,1,28.99
PR,Vitoria,28.99,1,28.99
RJ,Corrego Do Ouro,28.9,1,28.9
MG,Silveira Carvalho,28.9,1,28.9
RJ,Vargem Alegre,28.9,1,28.9
BA,Acajutiba,28.89,1,28.89
RJ,Barao De Juparana,28.49,1,28.49
MA,Rosario,28.12,1,28.12
SP,Turmalina,28.0,1,28.0
GO,Novo Planalto,27.99,1,27.99
PA,Igarape-Miri,27.99,1,27.99
PR,Laranjal,27.99,1,27.99
ES,Sao Joao De Petropolis,27.99,1,27.99
RS,Boa Vista Do Sul,27.99,1,27.99
RN,Sao Tome,27.99,1,27.99
BA,Sao Felix,27.9,1,27.9
PR,Icaraima,27.9,1,27.9
PR,Corumbatai Do Sul,27.49,1,27.49
ES,Ibiracu,27.3,1,27.3
PA,Ulianopolis,27.3,1,27.3
GO,Turvelandia,27.3,1,27.3
RN,Sao Joao Do Sabugi,26.9,1,26.9
MS,Eldorado,25.9,1,25.9
MA,Bom Jardim,25.9,1,25.9
RS,Coqueiros Do Sul,25.73,1,25.73
SP,Corumbatai,25.6,1,25.6
MG,Corrego Danta,25.4,1,25.4
ES,Angelo Frechiani,25.32,1,25.32
MG,Guinda,25.0,1,25.0
MG,Santana Do Capivari,25.0,1,25.0
MT,Nova Guarita,25.0,1,25.0
SC,Uniao Do Oeste,24.99,1,24.99
PI,Sebastiao Leal,24.99,1,24.99
SC,Leoberto Leal,24.99,1,24.99
PA,Tome-Acu,24.99,1,24.99
MA,Sitio Novo,24.99,1,24.99
GO,Flores De Goias,24.99,1,24.99
MG,Sobralia,24.9,1,24.9
PI,Rio Grande Do Piaui,24.9,1,24.9
MG,Delfim Moreira,24.9,1,24.9
MG,Desterro Do Melo,24.9,1,24.9
BA,Satiro Dias,24.5,1,24.5
GO,Mutunopolis,24.41,1,24.41
SE,Malhador,23.99,1,23.99
PE,Vertentes,23.99,1,23.99
RN,Jardim De Piranhas,23.9,1,23.9
TO,Novo Jardim,23.9,1,23.9
SP,Nova Independencia,23.9,1,23.9
AL,Santa Luzia Do Norte,23.8,1,23.8
RJ,Sao Sebastiao De Campos,23.8,1,23.8
BA,Ipecaeta,23.4,1,23.4
MG,Pedra Menina,23.4,1,23.4
BA,Monte Santo,23.21,1,23.21
GO,Jandaia,23.2,1,23.2
RJ,Cambiasca,22.99,1,22.99
RS,Serio,22.9,1,22.9
SP,Nova Luzitania,22.9,1,22.9
RS,Vista Alegre,22.0,1,22.0
RS,Pareci Novo,22.0,1,22.0
RS,Vale Do Sol,21.99,1,21.99
AL,Vicosa,21.9,1,21.9
RS,Sertao Santana,20.9,1,20.9
PI,Francisco Santos,20.9,1,20.9
SE,Sao Miguel Do Aleixo,20.0,1,20.0
TO,Pium,20.0,1,20.0
CE,Itapiuna,19.99,1,19.99
RN,Monte Alegre,19.99,1,19.99
MG,Cuite Velho,19.99,1,19.99
RS,Coqueiro Baixo,19.99,1,19.99
PR,Barracao,19.99,1,19.99
GO,Jardim Abc De Goias,19.99,1,19.99
MG,Minduri,19.9,1,19.9
SE,Santo Amaro Das Brotas,19.9,1,19.9
BA,Nova Redencao,19.9,1,19.9
RS,Pinhal Da Serra,19.9,1,19.9
SP,Aparecida D'Oeste,19.9,1,19.9
SC,Presidente Castello Branco,19.9,1,19.9
RS,Faxinalzinho,19.9,1,19.9
PR,Tupassi,19.9,1,19.9
BA,Joao Dourado,19.9,1,19.9
RN,Sao Rafael,19.9,1,19.9
RN,Santa Maria,19.83,1,19.83
SC,Caxambu Do Sul,19.5,1,19.5
PR,Balsa Nova,19.45,1,19.45
CE,Vicosa Do Ceara,18.95,1,18.95
CE,Pires Ferreira,18.95,1,18.95
PR,Leopolis,18.9,1,18.9
RS,Uniao Da Serra,18.5,1,18.5
GO,Montividiu Do Norte,17.99,1,17.99
MG,Uruana De Minas,17.9,1,17.9
SC,Macieira,17.46,1,17.46
MG,Crucilandia,17.0,1,17.0
RS,Agudo,17.0,1,17.0
RS,Presidente Lucena,16.99,1,16.99
GO,Trombas,16.97,1,16.97
DF,Santa Maria,16.9,1,16.9
PI,Simplicio Mendes,16.6,1,16.6
RS,Travesseiro,16.6,1,16.6
CE,Porteiras,16.55,1,16.55
MG,Sao Bento Abade,16.0,1,16.0
MA,Amapa Do Maranhao,15.9,1,15.9
PI,Demerval Lobao,15.0,1,15.0
CE,Missao Velha,14.99,1,14.99
RJ,Boa Ventura,14.9,1,14.9
SP,Ibitiuva,14.9,1,14.9
RS,Estrela Velha,14.9,1,14.9
CE,Mauriti,14.9,1,14.9
PR,Ouro Verde Do Oeste,14.9,1,14.9
GO,Cabeceiras,14.9,1,14.9
RJ,Duas Barras,14.89,1,14.89
MG,Estevao De Araujo,14.2,1,14.2
PR,Reserva Do Iguacu,14.0,1,14.0
PI,Nova Santa Rita,13.98,1,13.98
BA,Brejolandia,13.98,1,13.98
PA,Tracuateua,13.98,1,13.98
BA,Jacuipe,13.98,1,13.98
MG,Ponto Do Marambaia,13.7,1,13.7
PI,Marcos Parente,13.65,1,13.65
BA,Canapolis,13.65,1,13.65
MG,Tuparece,13.5,1,13.5
GO,Cezarina,13.49,1,13.49
RS,Liberato Salzano,12.99,1,12.99
RS,Vicente Dutra,12.99,1,12.99
PI,Joaquim Pires,12.97,1,12.97
PI,Varzea Grande,12.5,1,12.5
MG,Nova Resende,10.99,1,10.99
MG,Estiva,10.9,1,10.9
PR,Planaltina Do Parana,10.75,1,10.75
GO,Bom Jardim De Goias,10.0,1,10.0
PA,Medicilandia,8.99,1,8.99
PR,Tamboara,8.99,1,8.99
BA,Erico Cardoso,8.09,1,8.09
RJ,Santa Maria,8.0,1,8.0
MG,Jenipapo De Minas,7.48,1,7.48
MG,Santo Antonio Do Rio Abaixo,6.0,1,6.0
PA,Senador Jose Porfirio,6.0,1,6.0
PR,Sabaudia,5.9,1,5.9
RS,Polo Petroquimico De Triunfo,5.6,1,5.6
